overlap_bin_main,source_signature,row_count,taxonomy_group,bacdive_status_closure,metatraits_covered
metatraits_only,proteome:UP000006830,61,target_bacteria,bacdive_not_found,True
metatraits_only,proteome:UP000002305,53,target_bacteria,bacdive_not_found,True
metatraits_only,proteome:UP000005015,52,target_bacteria,bacdive_not_found,True
metatraits_only,proteome:UP000008548,115,target_bacteria,bacdive_not_found,True
metatraits_only,taxon:391896|organism:rickettsia bellii (strain osu 85-389),59,target_bacteria,bacdive_not_found,True
metatraits_only,proteome:UP000001951,108,target_bacteria,bacdive_not_found,True
metatraits_only,proteome:UP000000233,172,target_bacteria,bacdive_species_candidate_unvalidated,True
metatraits_only,proteome:UP000006900,103,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000008817,138,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:28442|organism:haloarcula vallismortis (halobacterium vallismortis),3,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,taxon:2180|organism:methanothermus fervidus,9,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,taxon:2161|organism:methanobacterium bryantii,4,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,taxon:2162|organism:methanobacterium formicicum,2,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000002146,95,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000002408,104,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,taxon:548|organism:klebsiella aerogenes (enterobacter aerogenes),24,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,proteome:UP000006633,5,target_bacteria,bacdive_species_candidate_unvalidated,True
bacdive_only,taxon:387|organism:rhizobium leguminosarum bv. viciae,6,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,taxon:1394|organism:bacillus caldolyticus,13,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:386|organism:rhizobium leguminosarum bv. trifolii,5,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:1092|organism:chlorobium limicola,2,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000002361,75,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:1061|organism:rhodobacter capsulatus (rhodopseudomonas capsulata),42,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,taxon:118109|organism:buchnera aphidicola subsp. rhopalosiphum maidis,2,target_bacteria,bacdive_not_found,True
metatraits_only,taxon:98793|organism:buchnera aphidicola subsp. rhopalosiphum padi,6,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000000566,104,target_bacteria,bacdive_exact_genome,False
bacdive_only,proteome:UP000000345,65,target_archaea,bacdive_exact_genome,False
bacdive_only,proteome:UP000007013,50,target_bacteria,bacdive_exact_culture_collection,False
metatraits_only,taxon:118110|organism:buchnera aphidicola subsp. schlechtendalia chinensis,20,target_bacteria,bacdive_not_found,True
metatraits_only,taxon:118101|organism:buchnera aphidicola subsp. diuraphis noxia,21,target_bacteria,bacdive_not_found,True
metatraits_only,taxon:118103|organism:buchnera aphidicola subsp. melaphis rhois,16,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000008243,50,target_archaea,bacdive_exact_genome,False
bacdive_only,taxon:2188|organism:methanococcus voltae,13,target_archaea,bacdive_species_exact_name_match,False
metatraits_only,taxon:33953|organism:clostridium aminobutyricum,2,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:627192|organism:sphingobium sp. (strain nbrc 103272 / syk-6),21,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000066529,3,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000002315,19,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,taxon:29345|organism:sedimentibacter hydroxybenzoicus (clostridium hydroxybenzoicum),3,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000001031,56,target_bacteria,bacdive_exact_genome,False
bacdive_only,taxon:2208|organism:methanosarcina barkeri,12,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,taxon:2187|organism:methanococcus vannielii,14,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000002457,68,target_archaea,bacdive_exact_culture_collection,False
metatraits_only,proteome:UP000008544,71,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000002028,3,target_bacteria,bacdive_exact_culture_collection,False
metatraits_only,taxon:779|organism:ehrlichia ruminantium (cowdria ruminantium),4,target_bacteria,bacdive_not_found,True
metatraits_only,taxon:769|organism:anaplasma centrale,2,target_bacteria,bacdive_not_found,True
metatraits_only,proteome:UP000001205,18,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:1098|organism:prosthecochloris vibrioformis (chlorobium vibrioforme),2,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:382|organism:rhizobium meliloti (ensifer meliloti) (sinorhizobium meliloti),25,target_bacteria,bacdive_species_taxid_or_synonym_match,False
bacdive_only,taxon:2209|organism:methanosarcina mazei (methanosarcina frisia),1,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,taxon:2210|organism:methanosarcina thermophila,7,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,taxon:172045|organism:elizabethkingia miricola (chryseobacterium miricola),1,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:2242|organism:halobacterium salinarum (halobacterium halobium),2,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,taxon:839|organism:xylanibacter ruminicola (prevotella ruminicola),2,target_bacteria,bacdive_species_taxid_or_synonym_match,False
metatraits_only,proteome:UP000001686,29,target_archaea,bacdive_not_found,True
metatraits_only,taxon:29303|organism:streptantibioticus cattleyicolor (streptomyces cattleya),4,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:571|organism:klebsiella oxytoca,17,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:2246|organism:haloferax volcanii (halobacterium volcanii),2,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,taxon:358|organism:agrobacterium tumefaciens,13,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:398|organism:rhizobium tropici,8,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000016160,3,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,taxon:362|organism:agrobacterium radiobacter,5,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:2189|organism:methanotorris igneus (methanococcus igneus),1,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000006469,4,target_archaea,bacdive_exact_genome,False
bacdive_only,taxon:471472|organism:chlamydia trachomatis serovar l2 (strain atcc vr-902b / dsm 19102 / 434/bu),1,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,taxon:813|organism:chlamydia trachomatis,1,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:83554|organism:chlamydia psittaci (chlamydophila psittaci),1,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,proteome:UP000002664,2,target_archaea,bacdive_not_found,True
