trait_name,group_1,group_2,unit,source_count,fraction_of_2478,fraction_of_metatraits_covered_1638
enzyme activity: arginine dihydrolase (EC3.5.3.6),Enzymes,Enzyme activity,boolean,1597,0.644471,0.974969
produces: hydrogen sulfide,Metabolism,Produces metabolite,boolean,1595,0.643664,0.973748
hydrolysis: gelatin,Metabolism,Hydrolase activity,boolean,1594,0.643261,0.973138
hydrolysis: esculin,Metabolism,Hydrolase activity,boolean,1592,0.642454,0.971917
methyl red test,Metabolites,Metabolite tests,boolean,1589,0.641243,0.970085
reduction: nitrite,Metabolism,Reduction,boolean,1587,0.640436,0.968864
enzyme activity: catalase (EC1.11.1.6),Enzymes,Enzyme activity,boolean,1586,0.640032,0.968254
enzyme activity: lysine decarboxylase (EC4.1.1.18),Enzymes,Enzyme activity,boolean,1585,0.639629,0.967643
enzyme activity: ornithine decarboxylase (EC4.1.1.17),Enzymes,Enzyme activity,boolean,1585,0.639629,0.967643
enzyme activity: DNase,Enzymes,Enzyme activity,boolean,1583,0.638822,0.966422
growth: cellobiose,Metabolism,Growth,boolean,1583,0.638822,0.966422
hydrolysis: casein,Metabolism,Hydrolase activity,boolean,1583,0.638822,0.966422
presence of hemolysis,Metabolites,Metabolite tests,factor,1583,0.638822,0.966422
capnophilic,Environmental preferences,Atmosphere,boolean,1582,0.638418,0.965812
cell color: yellow pigment,Morphology,Cell morphology,boolean,1582,0.638418,0.965812
enzyme activity: coagulase,Enzymes,Enzyme activity,boolean,1582,0.638418,0.965812
enzyme activity: lipase,Enzymes,Enzyme activity,boolean,1582,0.638418,0.965812
enzyme activity: oxidase,Enzymes,Enzyme activity,boolean,1582,0.638418,0.965812
enzyme activity: pyrrolidonyl arylamidase (EC3.4.19.3),Enzymes,Enzyme activity,boolean,1582,0.638418,0.965812
facultative anaerobe,Environmental preferences,Atmosphere,boolean,1582,0.638418,0.965812
fermentation: glucose,Metabolism,Fermentation,boolean,1582,0.638418,0.965812
gram negative,Morphology,Cell envelope,boolean,1582,0.638418,0.965812
growth: 42 degrees Celsius,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: 6.5% NaCl,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: D-mannitol,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: D-mannose,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: D-sorbitol,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: D-xylose,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: L-arabinose,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: L-rhamnose,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: MacConkey agar,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: acetate,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: bile acid susceptible,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: blood agar,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: glycerol,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: lactose,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: malonate,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: maltose,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: melibiose,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: myo-inositol,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: potassium cyanide,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: raffinose,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: salicin,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: sucrose,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: tartrate,Metabolism,Growth,boolean,1582,0.638418,0.965812
growth: trehalose,Metabolism,Growth,boolean,1582,0.638418,0.965812
hydrolysis: 4-nitrophenyl beta-D-galactopyranoside,Metabolism,Hydrolase activity,boolean,1582,0.638418,0.965812
hydrolysis: starch,Metabolism,Hydrolase activity,boolean,1582,0.638418,0.965812
oxidation: glucose,Metabolism,Oxidation,boolean,1582,0.638418,0.965812
