source_signature,row_count,taxonomy_group,source_resolution_level,source_species_normalized,source_organism_name,bacdive_status_closure,species_validation_status,candidate_rescue_status,raw_cache_files_seen,missing_cache_files,cache_record_count_total_before_species_filter,representative_bacdive_record_count,record_count_with_culture_collection,unique_culture_collection_count,has_any_culture_collection,type_strain_record_count,has_type_strain_record,culture_medium_record_count,unique_culture_medium_count,has_any_culture_medium,isolation_source_record_count,unique_isolation_source_count,has_any_isolation_source,country_record_count,unique_country_count,has_any_country,genome_accession_record_count,unique_genome_accession_count,has_any_genome_accession,inclusion_basis_counts,example_culture_collections,example_strain_designations,example_culture_media,example_isolation_sources
taxon:297|organism:hydrogenophilus thermoluteolus (pseudomonas hydrogenothermophila),3,target_bacteria,taxon_organism,hydrogenophilus thermoluteolus,Hydrogenophilus thermoluteolus (Pseudomonas hydrogenothermophila),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,4,2,2,4,True,1,True,2,4,True,1,1,True,1,1,True,1,1,True,"{""normalized_species_exact"": 2}",CIP 106958; IFO 14978; DSM 6765; NBRC 14978,TH-1,MEDIUM 119 - for Azotobacter vinelandii; HETEROTROPHIC MEDIUM H3P (DSMZ Medium 428); MINERAL MEDIUM FOR CHEMOLITHOTROPHIC GROWTH (H-3) (DSMZ Medium 81); CIP Medium 1,"Environment, Soil around hot spring"
taxon:478434|organism:mycobacterium tuberculosis (strain kzn 1435 / mdr),7,target_bacteria,taxon_organism,mycobacterium tuberculosis,Mycobacterium tuberculosis (strain KZN 1435 / MDR),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,4,0,368,184,184,317,True,3,True,111,7,True,138,33,True,134,10,True,6,6,True,"{""normalized_species_exact"": 78, ""validated_bacdive_id_from_closure"": 106}",CRBIP7.113; CIPT 113; CRBIP7.112; CIPT 112; CRBIP7.108; CIPT 108; CIP 105050; ATCC 35734; CCUG 38152; TMC 1011; CIP 111338; CIP 111337; CIP 111336; CIP 111335; CIP 111334; CIP 111333; CIP 111332; CIP 111331; CRBIP7.96; CIPT 96,140080007; 140080006; 140080010; 140040001; MYC 4436; MYC 4429; MYC 4426; MYC 4423; MYC 4416; MYC 4404; MYC 4403; MYC 4401; 140020086; 140020085; 140020084; 140020022; 140020021; 140020019; 140020017; 140020016,Löwenstein-Jensen Medium; CIP Medium 72; CIP Medium 55; CIP Medium 750; CIP Medium 267,"Human; Food, Bovine milk; Human, Sputum; Animal, Cow, lymphatic node; Human, Meningitis"
taxon:333|organism:pseudomonas chlororaphis (pseudomonas aureofaciens),14,target_bacteria,taxon_organism,pseudomonas chlororaphis,Pseudomonas chlororaphis (Pseudomonas aureofaciens),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,32,16,16,84,True,4,True,13,11,True,13,18,True,10,7,True,6,26,True,"{""base_binomial_match_or_subspecies"": 12, ""normalized_species_exact"": 4}",CCUG 56932; CCUG 3377 B; CCUG 3377 A; CIP 76.23; CIP 75.23; DSM 29578; DSM 21509; NCIMB 14478; CIP 110232; DSM 50083; ATCC 9446; CCM 1975; ICPB 2392; IFO 3904; NBRC 3904; NCIB 9392; NRRL B-560; CCUG 552 B; LMG 6220; CCM 292,"PT02; JF3835; 292; EIII.9.25.1, L8; RW71; 305-STR-1-4",MEDIUM 3 - Columbia agar; CIP Medium 3; TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535); MEDIUM 72- for trypto casein soja agar; CIP Medium 72,"Industry,environment; Grated carrot; Environment, Soil; topsoil of reaped corn field; distal intestine of a European perch (<i>Perca fluviatilis</i> L.)"
taxon:115981|organism:salmonella montevideo,2,target_bacteria,taxon_organism,salmonella enterica,Salmonella montevideo,bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,4,0,400,200,200,376,True,6,True,199,18,True,57,42,True,70,21,True,28,83,True,"{""base_binomial_match_or_subspecies"": 46, ""normalized_species_exact"": 154}",CIP 55.38; NCTC 8386; CIP 107479; CCUG 46434; CIP 55.29; CIP 55.28; NCTC 7309; CIP 55.27; NCTC 7299; CIP 55.26; NCTC 7315; CIP 55.24; CIP 55.23; NCTC 7303; CIP 55.21; NCTC 7332; CIP 107125; CIP 54.143; CIP 54.140; CIP 54.139,"82K; 91K; 585K; 61; 19, M73; 13, M50; 69K; LT2; C52; S-6; Eastafrica; TA1538; 254; I137; M327, 71; 88, M453; 87, M452; M439, 86; M248, 58; M244, 57",MEDIUM 3 - Columbia agar; CIP Medium 3; MEDIUM 72- for trypto casein soja agar; CIP Medium 72; MEDIUM 29- Brain heart agar,"Human, Faeces; Poult, intestine; Gopher snake, lung; Dried egg powder; Turkey, conjunctivitis"
taxon:596|organism:salmonella muenchen,4,target_bacteria,taxon_organism,salmonella enterica,Salmonella muenchen,bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,4,0,400,200,200,376,True,6,True,199,18,True,57,42,True,70,21,True,28,83,True,"{""base_binomial_match_or_subspecies"": 46, ""normalized_species_exact"": 154}",CIP 55.38; NCTC 8386; CIP 107479; CCUG 46434; CIP 55.29; CIP 55.28; NCTC 7309; CIP 55.27; NCTC 7299; CIP 55.26; NCTC 7315; CIP 55.24; CIP 55.23; NCTC 7303; CIP 55.21; NCTC 7332; CIP 107125; CIP 54.143; CIP 54.140; CIP 54.139,"82K; 91K; 585K; 61; 19, M73; 13, M50; 69K; LT2; C52; S-6; Eastafrica; TA1538; 254; I137; M327, 71; 88, M453; 87, M452; M439, 86; M248, 58; M244, 57",MEDIUM 3 - Columbia agar; CIP Medium 3; MEDIUM 72- for trypto casein soja agar; CIP Medium 72; MEDIUM 29- Brain heart agar,"Human, Faeces; Poult, intestine; Gopher snake, lung; Dried egg powder; Turkey, conjunctivitis"
taxon:2122|organism:mycoplasmoides pirum (mycoplasma pirum),6,target_bacteria,taxon_organism,mycoplasmoides pirum,Mycoplasmoides pirum (Mycoplasma pirum),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,2,1,1,2,True,1,True,0,0,False,0,0,False,0,0,False,1,1,True,"{""normalized_species_exact"": 1}",ATCC 25960; NCTC 11702,HRC 70-159,,
taxon:1473|organism:virgibacillus pantothenticus,3,target_bacteria,taxon_organism,virgibacillus pantothenticus,Virgibacillus pantothenticus,bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,16,8,8,44,True,1,True,6,5,True,8,6,True,8,3,True,1,3,True,"{""normalized_species_exact"": 8}",JCM 31627; JCM 31625; CIP 102702; DSM 26; ATCC 14576; CCM 2049; LMG 7129; NCIB 8775; NCTC 8162; CCUG 7424; CIP 51.24; IAM 11061; CN 3028; NRS B21; JCM 20334; BCRC 14681; CCEB 635; CECT 42; NBRC 102447; NCAIM B.01092,"683-86; B 21, 3028",MEDIUM 3 - Columbia agar; CIP Medium 3; trypticase soy agar; NUTRIENT AGAR (DSMZ Medium 1); CIP Medium 72,"Deep subseafloor sediment off the Shimokita Peninsula (Drilling site C0020); Human, Human pus, earth discharge; soil; Soil,garden; Soil"
taxon:1892|organism:streptomyces anulatus (streptomyces chrysomallus),7,target_bacteria,taxon_organism,streptomyces anulatus,Streptomyces anulatus (Streptomyces chrysomallus),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,36,18,15,114,True,1,True,11,8,True,5,4,True,4,5,True,4,4,True,"{""normalized_species_exact"": 14, ""validated_bacdive_id_from_closure"": 4}",ST020681; ST006484; ST006477; DSM 41016; IMRU 3069; DSM 41621; IMET 41332; DSM 46465; IMET 41335; DSM 41018; IMRU 3307; DSM 40870; CGMCC AS 4.1397; HUT 6141; DSM 40685; DSM 40393; ATCC 25485; ATCC 3374; CBS 104.27; CBS 913.69,"UniBonn17; JA07996; JA07989; 13-A55; ST003705; ST006481(HKI), 1332; Schering 360; H 121; 20; FBUA 431, Schön. 192; Beijerinck",GYM STREPTOMYCES MEDIUM (DSMZ Medium 65); ROLLED OATS MINERAL MEDIUM (DSMZ Medium 84); STARCH - MINERAL SALT - AGAR (STMS) (DSMZ Medium 252); OAT FLAKES AGAR WITH YEAST EXTRACT (DSMZ Medium 248); ISP 2,"rose root (rhizoplane, <I>Rosa canina </I>""Inermis""); scab of potatoes; soil; Soil"
taxon:1474|organism:sporosarcina pasteurii (bacillus pasteurii),3,target_bacteria,taxon_organism,sporosarcina pasteurii,Sporosarcina pasteurii (Bacillus pasteurii),bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,14,7,7,19,True,1,True,5,4,True,5,4,True,2,2,True,1,3,True,"{""normalized_species_exact"": 7}",CCUG 29456; NRRL NRS-675; CCUG 29455; NRRL NRS-674; CIP 54.15; NCDO 1168; CIP 54.16; DSM 33; ATCC 11859; CCM 2056; NCIB 8841; NCTC 4822; CCUG 7425; LMG 7130; CIP 66.21; NCDO 1776; NCIMB 8841; DSM 323; DSM 276,"2710; 2711; 22, Gibson 22; 3; 1",MEDIUM 19 - for Bacillus pasteurii; CIP Medium 19; CASO AGAR (MERCK 105458) (DSMZ Medium 220); BACILLUS PASTEURII MEDIUM (DSMZ Medium 2),"Environment, Soil; Environment, Soil Isolate; soil; garden soil"
taxon:1371|organism:marinococcus halophilus,3,target_bacteria,taxon_organism,marinococcus halophilus,Marinococcus halophilus,bacdive_species_exact_name_match,validated_species_exact_name,not_candidate_row,2,0,20,10,10,33,True,1,True,1,4,True,10,6,True,0,0,False,1,3,True,"{""normalized_species_exact"": 10}",JCM 2482; IAM 13414; JCM 2481; IAM 13413; JCM 2480; IAM 13412; JCM 2478; IAM 13411; JCM 2477; IAM 13410; JCM 2476; CCM 3521; IAM 13409; JCM 2475; CCM 3519; IAM 13408; JCM 2473; IAM 13406; JCM 2472; IAM 13405,HK 718,"BACTO MARINE BROTH (DIFCO 2216) (DSMZ Medium 514); MEDIUM 204 - for Halorubrum, Marinococcus and Natrialba; CIP Medium 204; CIP Medium 240",Solar saltern; Sea saltern; Sea soil; Sea sand; salted mackerel
